NCES School ID,State School ID,Schoolname,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Race,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*,Student Pop,% white,% black ,% hispanic/latinx,% asian,% FARMS,ESOL,total allocated cost,title 1 status,% graduation rate,dropout rate,suspension rate,US news school ranking ,US news college readiness score,avg SAT score
2.40048E+11,MD-15-150246,Northwest HS,13501 Richter Farm Rd,Germantown,MD,20874,,(301)601-4660,21,Suburb: Large,No,No,Even Distribution,–,–,2586,148.4,17.4,452,122,2586,26.9,25.7,21.7,21.1,22.1,5,21960558,no,94.9,5,3.8,1037,54.3,1138
2.40048E+11,MD-15-150796,Northwood HS,919 University Blvd W,Silver Spring,MD,20901,,(301)649-8088,21,Suburb: Large,No,No,Hispanic/Latinx,Yes,Yes,1732,119.8,14.5,671,182,1732,13.6,25.4,53.1,5.3,49.7,22.3,19347238,yes,80.6,14.8,4.6,4943,41.3,1024
2.40048E+11,MD-15-150315,Paint Branch HS,14121 Old Columbia Pike,Burtonsville,MD,20866,1799,(301)388-9900,21,Suburb: Large,No,No,Black ,Yes,No,2005,120.12,16.7,564,145,2005,5.7,58.6,20.1,12.6,35.5,5,20904623,yes,87.9,9.1,3.5,1330,51.7,1062
2.40048E+11,MD-15-150152,Poolesville HS,17501 W Willard Rd,Poolesville,MD,20837,2006,(240)740-2400,31,Town: Fringe,No,Yes,White,–,–,1185,63.5,18.7,66,22,1185,48.9,5.7,8.2,31.5,7.3,5,11915724,no,95,5,<3.0,90,86.4,1354
2.40048E+11,MD-15-150125,Quince Orchard HS,15800 Quince Orchard Rd,Gaithersburg,MD,20878,3442,(240)740-3600,21,Suburb: Large,No,No,White,–,–,2100,124.6,16.9,372,80,2100,38.7,15.3,28.6,13.5,21.6,10.6,19935181,no,92.4,5,3.3,807,71,1166
2.40048E+11,MD-15-150201,Richard Montgomery HS,250 Richard Montgomery Dr,Rockville,MD,20852,1147,(301)610-8000,13,City: Small,No,Yes,Even Distribution,–,–,2483,135,18.4,384,107,2483,29.4,16.9,22.7,26,20,8.6,21805669,no,91.3,5,<3.0,604,67.6,1237
2.40048E+11,MD-15-150230,Rockville HS,2100 Baltimore Rd,Rockville,MD,20851,,(301)517-8105,13,City: Small,No,No,Hispanic/Latinx,–,–,1450,97.4,14.9,288,62,1450,30.5,13.7,41,10.8,24.1,12.3,18295811,no,85.3,5.2,<3.0,2011,54.9,1110
2.40048E+11,MD-15-150104,Seneca Valley HS,19401 Crystal Rock Dr,Germantown,MD,20874,1599,(301)353-8000,21,Suburb: Large,No,No,Black/Hispanic,Yes,No,1181,83.8,14.1,369,75,1181,14.5,34.6,35.8,10.9,37.9,14,15127375,yes,85,6.7,<3.0,7160,31.7,1053
2.40048E+11,MD-15-150503,Sherwood HS,300 Olney-Sandy Spring Rd,Sandy Spring,MD,20860,,(301)924-3200,21,Suburb: Large,No,No,White,–,–,1973,116.2,17,246,51,1973,49.3,16.1,18.1,11.4,15.7,12.5,20782561,no,90.4,5,4.6,2063,61.2,1183
2.40048E+11,MD-15-150798,Springbrook HS,201 Valleybrook Dr,Silver Spring,MD,20904,,(240)740-3800,21,Suburb: Large,No,No,Black/Hispanic,Yes,Yes,1735,119.63,14.5,652,176,1735,6.7,37.8,39.8,12.6,48,18.7,20541092,yes,85.4,9.3,3.2,2903,53.3,1070
2.40048E+11,MD-15-150424,Walter Johnson HS,6400 Rock Spring Dr,Bethesda,MD,20814,1991,(301)803-7100,21,Suburb: Large,No,No,White,–,–,2587,140.4,18.4,149,44,2587,53.7,10.3,17.7,12.2,7.4,5.5,22918478,yes,93.9,5,<3.0,344,72.6,1239
2.40048E+11,MD-15-150545,Watkins Mill HS,10301 Apple Ridge Rd,Gaithersburg,MD,20879,,(301)284-4400,21,Suburb: Large,No,No,Hispanic/Latinx,Yes,Yes,1615,116.8,13.8,664,140,1615,7.2,29.4,51.1,8.2,50,22.2,19332810,yes,79.3,12.9,5,9293,28.1,1050
2.40048E+11,MD-15-150782,Wheaton HS,12401 Dalewood Dr,Silver Spring,MD,20906,4114,(301)321-3400,21,Suburb: Large,No,No,Hispanic/Latinx,Yes,Yes,2077,128.6,16.2,717,246,2077,9.3,22.3,53.9,12.1,46.9,20.9,19964009,yes,77.2,16.1,3.5,2854,50.1,1125
2.40048E+11,MD-15-150427,Whitman HS,7100 Whittier Blvd,Bethesda,MD,20817,6199,(301)320-6600,13,City: Small,No,No,White,–,–,2098,123.6,17,35,5,2098,68.5,5,8.1,14.1,5,5,21961950,no,95,5,<3.0,105,85.4,1330
2.40048E+11,MD-15-150234,Wootton HS,2100 Wootton Pkwy,Rockville,MD,20850,3037,(240)740-1500,13,City: Small,No,No,White,–,–,2107,116,18.2,84,25,2107,44.1,7.5,7.2,36.1,5.2,5,19984010, no,95,5,<3.0,128,83.5,1322
